mode,target,magnitude,prompt_id,category,n_keyword,n_total,keyword_fraction,coherence_grade
raw_dom,raw_dom,0.0,invariant_000,invariant,0,136,0.0,3
raw_dom,raw_dom,4.0,invariant_000,invariant,1,142,0.007042253521126761,3
raw_dom,raw_dom,8.0,invariant_000,invariant,8,137,0.058394160583941604,1
raw_dom,raw_dom,12.0,invariant_000,invariant,2,124,0.016129032258064516,1
raw_dom,raw_dom,16.0,invariant_000,invariant,0,160,0.0,1
raw_dom,raw_dom,20.0,invariant_000,invariant,0,108,0.0,1
sae_additive,feat_7792,0.0,invariant_000,invariant,0,136,0.0,3
sae_additive,feat_7792,4.0,invariant_000,invariant,3,141,0.02127659574468085,2
sae_additive,feat_7792,8.0,invariant_000,invariant,17,129,0.13178294573643412,1
sae_additive,feat_7792,12.0,invariant_000,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_000,invariant,0,152,0.0,0
sae_additive,feat_7792,20.0,invariant_000,invariant,0,18,0.0,1
raw_dom,raw_dom,0.0,invariant_001,invariant,0,139,0.0,3
raw_dom,raw_dom,4.0,invariant_001,invariant,2,158,0.012658227848101266,3
raw_dom,raw_dom,8.0,invariant_001,invariant,13,150,0.08666666666666667,1
raw_dom,raw_dom,12.0,invariant_001,invariant,0,167,0.0,1
raw_dom,raw_dom,16.0,invariant_001,invariant,0,143,0.0,1
raw_dom,raw_dom,20.0,invariant_001,invariant,3,127,0.023622047244094488,1
sae_additive,feat_7792,0.0,invariant_001,invariant,0,139,0.0,3
sae_additive,feat_7792,4.0,invariant_001,invariant,3,159,0.018867924528301886,2
sae_additive,feat_7792,8.0,invariant_001,invariant,9,152,0.05921052631578947,1
sae_additive,feat_7792,12.0,invariant_001,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_001,invariant,0,6,0.0,0
sae_additive,feat_7792,20.0,invariant_001,invariant,0,16,0.0,0
raw_dom,raw_dom,0.0,invariant_002,invariant,0,152,0.0,3
raw_dom,raw_dom,4.0,invariant_002,invariant,2,160,0.0125,3
raw_dom,raw_dom,8.0,invariant_002,invariant,18,145,0.12413793103448276,1
raw_dom,raw_dom,12.0,invariant_002,invariant,74,109,0.6788990825688074,1
raw_dom,raw_dom,16.0,invariant_002,invariant,20,138,0.14492753623188406,1
raw_dom,raw_dom,20.0,invariant_002,invariant,0,121,0.0,1
sae_additive,feat_7792,0.0,invariant_002,invariant,0,152,0.0,3
sae_additive,feat_7792,4.0,invariant_002,invariant,2,157,0.012738853503184714,2
sae_additive,feat_7792,8.0,invariant_002,invariant,15,154,0.09740259740259741,1
sae_additive,feat_7792,12.0,invariant_002,invariant,2,100,0.02,1
sae_additive,feat_7792,16.0,invariant_002,invariant,0,49,0.0,0
sae_additive,feat_7792,20.0,invariant_002,invariant,0,3,0.0,0
raw_dom,raw_dom,0.0,invariant_003,invariant,1,135,0.007407407407407408,3
raw_dom,raw_dom,4.0,invariant_003,invariant,1,132,0.007575757575757576,3
raw_dom,raw_dom,8.0,invariant_003,invariant,20,137,0.145985401459854,1
raw_dom,raw_dom,12.0,invariant_003,invariant,43,109,0.3944954128440367,1
raw_dom,raw_dom,16.0,invariant_003,invariant,0,136,0.0,1
raw_dom,raw_dom,20.0,invariant_003,invariant,0,170,0.0,0
sae_additive,feat_7792,0.0,invariant_003,invariant,1,135,0.007407407407407408,3
sae_additive,feat_7792,4.0,invariant_003,invariant,4,144,0.027777777777777776,1
sae_additive,feat_7792,8.0,invariant_003,invariant,13,152,0.08552631578947369,1
sae_additive,feat_7792,12.0,invariant_003,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_003,invariant,0,20,0.0,0
sae_additive,feat_7792,20.0,invariant_003,invariant,0,44,0.0,0
raw_dom,raw_dom,0.0,invariant_004,invariant,2,159,0.012578616352201259,3
raw_dom,raw_dom,4.0,invariant_004,invariant,1,161,0.006211180124223602,3
raw_dom,raw_dom,8.0,invariant_004,invariant,2,166,0.012048192771084338,1
raw_dom,raw_dom,12.0,invariant_004,invariant,42,117,0.358974358974359,1
raw_dom,raw_dom,16.0,invariant_004,invariant,0,138,0.0,1
raw_dom,raw_dom,20.0,invariant_004,invariant,0,95,0.0,1
sae_additive,feat_7792,0.0,invariant_004,invariant,2,159,0.012578616352201259,3
sae_additive,feat_7792,4.0,invariant_004,invariant,3,167,0.017964071856287425,2
sae_additive,feat_7792,8.0,invariant_004,invariant,14,142,0.09859154929577464,1
sae_additive,feat_7792,12.0,invariant_004,invariant,0,103,0.0,1
sae_additive,feat_7792,16.0,invariant_004,invariant,0,195,0.0,0
sae_additive,feat_7792,20.0,invariant_004,invariant,0,200,0.0,0
raw_dom,raw_dom,0.0,invariant_005,invariant,0,164,0.0,3
raw_dom,raw_dom,4.0,invariant_005,invariant,2,160,0.0125,3
raw_dom,raw_dom,8.0,invariant_005,invariant,12,138,0.08695652173913043,1
raw_dom,raw_dom,12.0,invariant_005,invariant,1,130,0.007692307692307693,1
raw_dom,raw_dom,16.0,invariant_005,invariant,27,130,0.2076923076923077,1
raw_dom,raw_dom,20.0,invariant_005,invariant,2,128,0.015625,1
sae_additive,feat_7792,0.0,invariant_005,invariant,0,164,0.0,3
sae_additive,feat_7792,4.0,invariant_005,invariant,3,163,0.018404907975460124,3
sae_additive,feat_7792,8.0,invariant_005,invariant,6,143,0.04195804195804196,1
sae_additive,feat_7792,12.0,invariant_005,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_005,invariant,0,5,0.0,0
sae_additive,feat_7792,20.0,invariant_005,invariant,0,28,0.0,0
raw_dom,raw_dom,0.0,invariant_006,invariant,1,143,0.006993006993006993,3
raw_dom,raw_dom,4.0,invariant_006,invariant,2,143,0.013986013986013986,3
raw_dom,raw_dom,8.0,invariant_006,invariant,1,114,0.008771929824561403,1
raw_dom,raw_dom,12.0,invariant_006,invariant,0,71,0.0,1
raw_dom,raw_dom,16.0,invariant_006,invariant,0,142,0.0,1
raw_dom,raw_dom,20.0,invariant_006,invariant,3,132,0.022727272727272728,1
sae_additive,feat_7792,0.0,invariant_006,invariant,1,143,0.006993006993006993,3
sae_additive,feat_7792,4.0,invariant_006,invariant,3,139,0.02158273381294964,3
sae_additive,feat_7792,8.0,invariant_006,invariant,15,118,0.1271186440677966,1
sae_additive,feat_7792,12.0,invariant_006,invariant,40,99,0.40404040404040403,1
sae_additive,feat_7792,16.0,invariant_006,invariant,0,11,0.0,0
sae_additive,feat_7792,20.0,invariant_006,invariant,0,193,0.0,0
raw_dom,raw_dom,0.0,invariant_007,invariant,0,130,0.0,3
raw_dom,raw_dom,4.0,invariant_007,invariant,2,159,0.012578616352201259,3
raw_dom,raw_dom,8.0,invariant_007,invariant,4,139,0.02877697841726619,1
raw_dom,raw_dom,12.0,invariant_007,invariant,0,121,0.0,1
raw_dom,raw_dom,16.0,invariant_007,invariant,43,129,0.3333333333333333,1
raw_dom,raw_dom,20.0,invariant_007,invariant,0,135,0.0,1
sae_additive,feat_7792,0.0,invariant_007,invariant,0,130,0.0,3
sae_additive,feat_7792,4.0,invariant_007,invariant,4,160,0.025,3
sae_additive,feat_7792,8.0,invariant_007,invariant,10,158,0.06329113924050633,1
sae_additive,feat_7792,12.0,invariant_007,invariant,42,96,0.4375,1
sae_additive,feat_7792,16.0,invariant_007,invariant,0,5,0.0,0
sae_additive,feat_7792,20.0,invariant_007,invariant,0,197,0.0,0
raw_dom,raw_dom,0.0,invariant_008,invariant,0,129,0.0,2
raw_dom,raw_dom,4.0,invariant_008,invariant,2,162,0.012345679012345678,3
raw_dom,raw_dom,8.0,invariant_008,invariant,12,159,0.07547169811320754,1
raw_dom,raw_dom,12.0,invariant_008,invariant,57,132,0.4318181818181818,1
raw_dom,raw_dom,16.0,invariant_008,invariant,35,105,0.3333333333333333,1
raw_dom,raw_dom,20.0,invariant_008,invariant,0,82,0.0,1
sae_additive,feat_7792,0.0,invariant_008,invariant,0,129,0.0,2
sae_additive,feat_7792,4.0,invariant_008,invariant,4,157,0.025477707006369428,2
sae_additive,feat_7792,8.0,invariant_008,invariant,15,142,0.1056338028169014,1
sae_additive,feat_7792,12.0,invariant_008,invariant,80,99,0.8080808080808081,1
sae_additive,feat_7792,16.0,invariant_008,invariant,0,86,0.0,0
sae_additive,feat_7792,20.0,invariant_008,invariant,0,29,0.0,0
raw_dom,raw_dom,0.0,invariant_009,invariant,1,165,0.006060606060606061,3
raw_dom,raw_dom,4.0,invariant_009,invariant,3,167,0.017964071856287425,3
raw_dom,raw_dom,8.0,invariant_009,invariant,2,130,0.015384615384615385,1
raw_dom,raw_dom,12.0,invariant_009,invariant,31,126,0.24603174603174602,1
raw_dom,raw_dom,16.0,invariant_009,invariant,1,153,0.006535947712418301,1
raw_dom,raw_dom,20.0,invariant_009,invariant,0,128,0.0,1
sae_additive,feat_7792,0.0,invariant_009,invariant,1,165,0.006060606060606061,3
sae_additive,feat_7792,4.0,invariant_009,invariant,3,168,0.017857142857142856,1
sae_additive,feat_7792,8.0,invariant_009,invariant,15,131,0.11450381679389313,1
sae_additive,feat_7792,12.0,invariant_009,invariant,1,100,0.01,1
sae_additive,feat_7792,16.0,invariant_009,invariant,0,22,0.0,0
sae_additive,feat_7792,20.0,invariant_009,invariant,0,60,0.0,0
raw_dom,raw_dom,0.0,invariant_010,invariant,0,131,0.0,2
raw_dom,raw_dom,4.0,invariant_010,invariant,1,158,0.006329113924050633,3
raw_dom,raw_dom,8.0,invariant_010,invariant,1,138,0.007246376811594203,1
raw_dom,raw_dom,12.0,invariant_010,invariant,0,133,0.0,1
raw_dom,raw_dom,16.0,invariant_010,invariant,0,137,0.0,1
raw_dom,raw_dom,20.0,invariant_010,invariant,0,125,0.0,1
sae_additive,feat_7792,0.0,invariant_010,invariant,0,131,0.0,2
sae_additive,feat_7792,4.0,invariant_010,invariant,2,162,0.012345679012345678,3
sae_additive,feat_7792,8.0,invariant_010,invariant,13,156,0.08333333333333333,1
sae_additive,feat_7792,12.0,invariant_010,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_010,invariant,0,9,0.0,0
sae_additive,feat_7792,20.0,invariant_010,invariant,0,15,0.0,0
raw_dom,raw_dom,0.0,invariant_011,invariant,0,147,0.0,3
raw_dom,raw_dom,4.0,invariant_011,invariant,1,136,0.007352941176470588,3
raw_dom,raw_dom,8.0,invariant_011,invariant,4,141,0.028368794326241134,1
raw_dom,raw_dom,12.0,invariant_011,invariant,0,122,0.0,1
raw_dom,raw_dom,16.0,invariant_011,invariant,0,141,0.0,1
raw_dom,raw_dom,20.0,invariant_011,invariant,0,129,0.0,1
sae_additive,feat_7792,0.0,invariant_011,invariant,0,147,0.0,3
sae_additive,feat_7792,4.0,invariant_011,invariant,3,132,0.022727272727272728,3
sae_additive,feat_7792,8.0,invariant_011,invariant,12,137,0.08759124087591241,1
sae_additive,feat_7792,12.0,invariant_011,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_011,invariant,0,100,0.0,0
sae_additive,feat_7792,20.0,invariant_011,invariant,0,197,0.0,0
raw_dom,raw_dom,0.0,invariant_012,invariant,0,154,0.0,3
raw_dom,raw_dom,4.0,invariant_012,invariant,1,162,0.006172839506172839,3
raw_dom,raw_dom,8.0,invariant_012,invariant,2,157,0.012738853503184714,1
raw_dom,raw_dom,12.0,invariant_012,invariant,0,167,0.0,1
raw_dom,raw_dom,16.0,invariant_012,invariant,21,130,0.16153846153846155,1
raw_dom,raw_dom,20.0,invariant_012,invariant,0,116,0.0,1
sae_additive,feat_7792,0.0,invariant_012,invariant,0,154,0.0,3
sae_additive,feat_7792,4.0,invariant_012,invariant,2,164,0.012195121951219513,1
sae_additive,feat_7792,8.0,invariant_012,invariant,12,161,0.07453416149068323,1
sae_additive,feat_7792,12.0,invariant_012,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_012,invariant,0,189,0.0,0
sae_additive,feat_7792,20.0,invariant_012,invariant,0,30,0.0,1
raw_dom,raw_dom,0.0,invariant_013,invariant,0,152,0.0,3
raw_dom,raw_dom,4.0,invariant_013,invariant,2,159,0.012578616352201259,3
raw_dom,raw_dom,8.0,invariant_013,invariant,1,145,0.006896551724137931,1
raw_dom,raw_dom,12.0,invariant_013,invariant,0,85,0.0,1
raw_dom,raw_dom,16.0,invariant_013,invariant,0,136,0.0,1
raw_dom,raw_dom,20.0,invariant_013,invariant,0,117,0.0,1
sae_additive,feat_7792,0.0,invariant_013,invariant,0,152,0.0,3
sae_additive,feat_7792,4.0,invariant_013,invariant,5,157,0.03184713375796178,3
sae_additive,feat_7792,8.0,invariant_013,invariant,23,129,0.17829457364341086,1
sae_additive,feat_7792,12.0,invariant_013,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_013,invariant,0,100,0.0,0
sae_additive,feat_7792,20.0,invariant_013,invariant,0,22,0.0,0
raw_dom,raw_dom,0.0,invariant_014,invariant,1,140,0.007142857142857143,3
raw_dom,raw_dom,4.0,invariant_014,invariant,2,130,0.015384615384615385,3
raw_dom,raw_dom,8.0,invariant_014,invariant,1,152,0.006578947368421052,1
raw_dom,raw_dom,12.0,invariant_014,invariant,32,126,0.25396825396825395,1
raw_dom,raw_dom,16.0,invariant_014,invariant,11,136,0.08088235294117647,1
raw_dom,raw_dom,20.0,invariant_014,invariant,1,127,0.007874015748031496,1
sae_additive,feat_7792,0.0,invariant_014,invariant,1,140,0.007142857142857143,3
sae_additive,feat_7792,4.0,invariant_014,invariant,3,125,0.024,3
sae_additive,feat_7792,8.0,invariant_014,invariant,11,157,0.07006369426751592,1
sae_additive,feat_7792,12.0,invariant_014,invariant,0,101,0.0,1
sae_additive,feat_7792,16.0,invariant_014,invariant,0,194,0.0,0
sae_additive,feat_7792,20.0,invariant_014,invariant,0,190,0.0,0
raw_dom,raw_dom,0.0,invariant_015,invariant,0,143,0.0,3
raw_dom,raw_dom,4.0,invariant_015,invariant,2,136,0.014705882352941176,3
raw_dom,raw_dom,8.0,invariant_015,invariant,0,143,0.0,1
raw_dom,raw_dom,12.0,invariant_015,invariant,0,120,0.0,1
raw_dom,raw_dom,16.0,invariant_015,invariant,0,107,0.0,1
raw_dom,raw_dom,20.0,invariant_015,invariant,0,133,0.0,1
sae_additive,feat_7792,0.0,invariant_015,invariant,0,143,0.0,3
sae_additive,feat_7792,4.0,invariant_015,invariant,2,132,0.015151515151515152,3
sae_additive,feat_7792,8.0,invariant_015,invariant,7,154,0.045454545454545456,1
sae_additive,feat_7792,12.0,invariant_015,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_015,invariant,0,15,0.0,0
sae_additive,feat_7792,20.0,invariant_015,invariant,0,28,0.0,0
raw_dom,raw_dom,0.0,invariant_016,invariant,1,167,0.005988023952095809,3
raw_dom,raw_dom,4.0,invariant_016,invariant,1,165,0.006060606060606061,3
raw_dom,raw_dom,8.0,invariant_016,invariant,9,134,0.06716417910447761,1
raw_dom,raw_dom,12.0,invariant_016,invariant,0,143,0.0,1
raw_dom,raw_dom,16.0,invariant_016,invariant,0,147,0.0,1
raw_dom,raw_dom,20.0,invariant_016,invariant,0,139,0.0,1
sae_additive,feat_7792,0.0,invariant_016,invariant,1,167,0.005988023952095809,3
sae_additive,feat_7792,4.0,invariant_016,invariant,4,156,0.02564102564102564,3
sae_additive,feat_7792,8.0,invariant_016,invariant,17,145,0.11724137931034483,1
sae_additive,feat_7792,12.0,invariant_016,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_016,invariant,0,98,0.0,1
sae_additive,feat_7792,20.0,invariant_016,invariant,0,184,0.0,0
raw_dom,raw_dom,0.0,invariant_017,invariant,0,123,0.0,3
raw_dom,raw_dom,4.0,invariant_017,invariant,1,157,0.006369426751592357,3
raw_dom,raw_dom,8.0,invariant_017,invariant,10,149,0.06711409395973154,1
raw_dom,raw_dom,12.0,invariant_017,invariant,0,169,0.0,1
raw_dom,raw_dom,16.0,invariant_017,invariant,23,140,0.16428571428571428,1
raw_dom,raw_dom,20.0,invariant_017,invariant,0,66,0.0,1
sae_additive,feat_7792,0.0,invariant_017,invariant,0,123,0.0,3
sae_additive,feat_7792,4.0,invariant_017,invariant,1,151,0.006622516556291391,3
sae_additive,feat_7792,8.0,invariant_017,invariant,10,159,0.06289308176100629,1
sae_additive,feat_7792,12.0,invariant_017,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_017,invariant,0,82,0.0,0
sae_additive,feat_7792,20.0,invariant_017,invariant,0,12,0.0,0
raw_dom,raw_dom,0.0,invariant_018,invariant,0,164,0.0,3
raw_dom,raw_dom,4.0,invariant_018,invariant,2,156,0.01282051282051282,3
raw_dom,raw_dom,8.0,invariant_018,invariant,2,133,0.015037593984962405,1
raw_dom,raw_dom,12.0,invariant_018,invariant,29,127,0.2283464566929134,1
raw_dom,raw_dom,16.0,invariant_018,invariant,26,134,0.19402985074626866,1
raw_dom,raw_dom,20.0,invariant_018,invariant,0,130,0.0,1
sae_additive,feat_7792,0.0,invariant_018,invariant,0,164,0.0,3
sae_additive,feat_7792,4.0,invariant_018,invariant,4,162,0.024691358024691357,3
sae_additive,feat_7792,8.0,invariant_018,invariant,12,153,0.0784313725490196,1
sae_additive,feat_7792,12.0,invariant_018,invariant,0,101,0.0,1
sae_additive,feat_7792,16.0,invariant_018,invariant,0,17,0.0,0
sae_additive,feat_7792,20.0,invariant_018,invariant,0,30,0.0,0
raw_dom,raw_dom,0.0,invariant_019,invariant,0,131,0.0,2
raw_dom,raw_dom,4.0,invariant_019,invariant,2,160,0.0125,3
raw_dom,raw_dom,8.0,invariant_019,invariant,10,136,0.07352941176470588,1
raw_dom,raw_dom,12.0,invariant_019,invariant,1,161,0.006211180124223602,1
raw_dom,raw_dom,16.0,invariant_019,invariant,28,127,0.2204724409448819,1
raw_dom,raw_dom,20.0,invariant_019,invariant,0,122,0.0,1
sae_additive,feat_7792,0.0,invariant_019,invariant,0,131,0.0,2
sae_additive,feat_7792,4.0,invariant_019,invariant,4,149,0.026845637583892617,3
sae_additive,feat_7792,8.0,invariant_019,invariant,16,138,0.11594202898550725,1
sae_additive,feat_7792,12.0,invariant_019,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_019,invariant,0,101,0.0,0
sae_additive,feat_7792,20.0,invariant_019,invariant,0,10,0.0,0
raw_dom,raw_dom,0.0,invariant_020,invariant,1,152,0.006578947368421052,3
raw_dom,raw_dom,4.0,invariant_020,invariant,1,146,0.00684931506849315,3
raw_dom,raw_dom,8.0,invariant_020,invariant,11,143,0.07692307692307693,1
raw_dom,raw_dom,12.0,invariant_020,invariant,25,113,0.22123893805309736,1
raw_dom,raw_dom,16.0,invariant_020,invariant,8,121,0.06611570247933884,1
raw_dom,raw_dom,20.0,invariant_020,invariant,0,169,0.0,0
sae_additive,feat_7792,0.0,invariant_020,invariant,1,152,0.006578947368421052,3
sae_additive,feat_7792,4.0,invariant_020,invariant,3,147,0.02040816326530612,3
sae_additive,feat_7792,8.0,invariant_020,invariant,10,120,0.08333333333333333,1
sae_additive,feat_7792,12.0,invariant_020,invariant,0,98,0.0,1
sae_additive,feat_7792,16.0,invariant_020,invariant,0,199,0.0,0
sae_additive,feat_7792,20.0,invariant_020,invariant,0,200,0.0,0
raw_dom,raw_dom,0.0,invariant_021,invariant,0,137,0.0,3
raw_dom,raw_dom,4.0,invariant_021,invariant,2,155,0.012903225806451613,3
raw_dom,raw_dom,8.0,invariant_021,invariant,12,136,0.08823529411764706,1
raw_dom,raw_dom,12.0,invariant_021,invariant,0,121,0.0,1
raw_dom,raw_dom,16.0,invariant_021,invariant,33,120,0.275,1
raw_dom,raw_dom,20.0,invariant_021,invariant,0,127,0.0,1
sae_additive,feat_7792,0.0,invariant_021,invariant,0,137,0.0,3
sae_additive,feat_7792,4.0,invariant_021,invariant,2,152,0.013157894736842105,3
sae_additive,feat_7792,8.0,invariant_021,invariant,7,165,0.04242424242424243,1
sae_additive,feat_7792,12.0,invariant_021,invariant,27,98,0.2755102040816326,1
sae_additive,feat_7792,16.0,invariant_021,invariant,0,47,0.0,0
sae_additive,feat_7792,20.0,invariant_021,invariant,0,13,0.0,0
raw_dom,raw_dom,0.0,invariant_022,invariant,1,144,0.006944444444444444,3
raw_dom,raw_dom,4.0,invariant_022,invariant,1,148,0.006756756756756757,3
raw_dom,raw_dom,8.0,invariant_022,invariant,1,148,0.006756756756756757,1
raw_dom,raw_dom,12.0,invariant_022,invariant,84,102,0.8235294117647058,1
raw_dom,raw_dom,16.0,invariant_022,invariant,0,148,0.0,1
raw_dom,raw_dom,20.0,invariant_022,invariant,0,134,0.0,1
sae_additive,feat_7792,0.0,invariant_022,invariant,1,144,0.006944444444444444,3
sae_additive,feat_7792,4.0,invariant_022,invariant,3,149,0.020134228187919462,3
sae_additive,feat_7792,8.0,invariant_022,invariant,15,140,0.10714285714285714,1
sae_additive,feat_7792,12.0,invariant_022,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_022,invariant,0,102,0.0,1
sae_additive,feat_7792,20.0,invariant_022,invariant,0,16,0.0,0
raw_dom,raw_dom,0.0,invariant_023,invariant,1,150,0.006666666666666667,3
raw_dom,raw_dom,4.0,invariant_023,invariant,1,151,0.006622516556291391,3
raw_dom,raw_dom,8.0,invariant_023,invariant,14,149,0.09395973154362416,1
raw_dom,raw_dom,12.0,invariant_023,invariant,43,119,0.36134453781512604,1
raw_dom,raw_dom,16.0,invariant_023,invariant,23,112,0.20535714285714285,1
raw_dom,raw_dom,20.0,invariant_023,invariant,0,149,0.0,1
sae_additive,feat_7792,0.0,invariant_023,invariant,1,150,0.006666666666666667,3
sae_additive,feat_7792,4.0,invariant_023,invariant,3,152,0.019736842105263157,3
sae_additive,feat_7792,8.0,invariant_023,invariant,9,142,0.06338028169014084,1
sae_additive,feat_7792,12.0,invariant_023,invariant,43,97,0.44329896907216493,1
sae_additive,feat_7792,16.0,invariant_023,invariant,0,10,0.0,0
sae_additive,feat_7792,20.0,invariant_023,invariant,0,195,0.0,0
raw_dom,raw_dom,0.0,invariant_024,invariant,0,120,0.0,3
raw_dom,raw_dom,4.0,invariant_024,invariant,1,148,0.006756756756756757,3
raw_dom,raw_dom,8.0,invariant_024,invariant,11,147,0.07482993197278912,1
raw_dom,raw_dom,12.0,invariant_024,invariant,0,121,0.0,1
raw_dom,raw_dom,16.0,invariant_024,invariant,0,136,0.0,1
raw_dom,raw_dom,20.0,invariant_024,invariant,0,57,0.0,1
sae_additive,feat_7792,0.0,invariant_024,invariant,0,120,0.0,3
sae_additive,feat_7792,4.0,invariant_024,invariant,2,153,0.013071895424836602,3
sae_additive,feat_7792,8.0,invariant_024,invariant,14,148,0.0945945945945946,1
sae_additive,feat_7792,12.0,invariant_024,invariant,0,100,0.0,1
sae_additive,feat_7792,16.0,invariant_024,invariant,0,98,0.0,0
sae_additive,feat_7792,20.0,invariant_024,invariant,0,25,0.0,0
raw_dom,raw_dom,0.0,invariant_025,invariant,0,154,0.0,3
raw_dom,raw_dom,4.0,invariant_025,invariant,1,156,0.00641025641025641,3
raw_dom,raw_dom,8.0,invariant_025,invariant,11,152,0.07236842105263158,1
raw_dom,raw_dom,12.0,invariant_025,invariant,14,123,0.11382113821138211,1
raw_dom,raw_dom,16.0,invariant_025,invariant,0,138,0.0,1
raw_dom,raw_dom,20.0,invariant_025,invariant,0,123,0.0,1
sae_additive,feat_7792,0.0,invariant_025,invariant,0,154,0.0,3
sae_additive,feat_7792,4.0,invariant_025,invariant,1,165,0.006060606060606061,2
sae_additive,feat_7792,8.0,invariant_025,invariant,11,157,0.07006369426751592,1
sae_additive,feat_7792,12.0,invariant_025,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_025,invariant,0,117,0.0,0
sae_additive,feat_7792,20.0,invariant_025,invariant,0,36,0.0,0
raw_dom,raw_dom,0.0,invariant_026,invariant,1,164,0.006097560975609756,3
raw_dom,raw_dom,4.0,invariant_026,invariant,2,162,0.012345679012345678,3
raw_dom,raw_dom,8.0,invariant_026,invariant,8,155,0.05161290322580645,1
raw_dom,raw_dom,12.0,invariant_026,invariant,0,126,0.0,1
raw_dom,raw_dom,16.0,invariant_026,invariant,0,87,0.0,1
raw_dom,raw_dom,20.0,invariant_026,invariant,0,121,0.0,1
sae_additive,feat_7792,0.0,invariant_026,invariant,1,164,0.006097560975609756,3
sae_additive,feat_7792,4.0,invariant_026,invariant,1,165,0.006060606060606061,3
sae_additive,feat_7792,8.0,invariant_026,invariant,14,141,0.09929078014184398,1
sae_additive,feat_7792,12.0,invariant_026,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_026,invariant,0,8,0.0,0
sae_additive,feat_7792,20.0,invariant_026,invariant,0,26,0.0,0
raw_dom,raw_dom,0.0,invariant_027,invariant,0,166,0.0,3
raw_dom,raw_dom,4.0,invariant_027,invariant,3,152,0.019736842105263157,3
raw_dom,raw_dom,8.0,invariant_027,invariant,20,146,0.136986301369863,1
raw_dom,raw_dom,12.0,invariant_027,invariant,0,119,0.0,1
raw_dom,raw_dom,16.0,invariant_027,invariant,0,116,0.0,1
raw_dom,raw_dom,20.0,invariant_027,invariant,0,139,0.0,1
sae_additive,feat_7792,0.0,invariant_027,invariant,0,166,0.0,3
sae_additive,feat_7792,4.0,invariant_027,invariant,2,157,0.012738853503184714,3
sae_additive,feat_7792,8.0,invariant_027,invariant,12,141,0.0851063829787234,1
sae_additive,feat_7792,12.0,invariant_027,invariant,31,98,0.3163265306122449,1
sae_additive,feat_7792,16.0,invariant_027,invariant,0,10,0.0,0
sae_additive,feat_7792,20.0,invariant_027,invariant,0,18,0.0,0
raw_dom,raw_dom,0.0,invariant_028,invariant,0,127,0.0,3
raw_dom,raw_dom,4.0,invariant_028,invariant,3,155,0.01935483870967742,3
raw_dom,raw_dom,8.0,invariant_028,invariant,1,133,0.007518796992481203,1
raw_dom,raw_dom,12.0,invariant_028,invariant,0,99,0.0,1
raw_dom,raw_dom,16.0,invariant_028,invariant,6,147,0.04081632653061224,1
raw_dom,raw_dom,20.0,invariant_028,invariant,0,108,0.0,1
sae_additive,feat_7792,0.0,invariant_028,invariant,0,127,0.0,3
sae_additive,feat_7792,4.0,invariant_028,invariant,3,156,0.019230769230769232,3
sae_additive,feat_7792,8.0,invariant_028,invariant,6,153,0.0392156862745098,1
sae_additive,feat_7792,12.0,invariant_028,invariant,37,100,0.37,1
sae_additive,feat_7792,16.0,invariant_028,invariant,0,197,0.0,0
sae_additive,feat_7792,20.0,invariant_028,invariant,0,200,0.0,0
raw_dom,raw_dom,0.0,invariant_029,invariant,0,152,0.0,3
raw_dom,raw_dom,4.0,invariant_029,invariant,1,139,0.007194244604316547,3
raw_dom,raw_dom,8.0,invariant_029,invariant,0,158,0.0,1
raw_dom,raw_dom,12.0,invariant_029,invariant,21,115,0.1826086956521739,1
raw_dom,raw_dom,16.0,invariant_029,invariant,0,157,0.0,1
raw_dom,raw_dom,20.0,invariant_029,invariant,2,127,0.015748031496062992,1
sae_additive,feat_7792,0.0,invariant_029,invariant,0,152,0.0,3
sae_additive,feat_7792,4.0,invariant_029,invariant,3,138,0.021739130434782608,3
sae_additive,feat_7792,8.0,invariant_029,invariant,12,142,0.08450704225352113,1
sae_additive,feat_7792,12.0,invariant_029,invariant,0,99,0.0,1
sae_additive,feat_7792,16.0,invariant_029,invariant,0,13,0.0,0
sae_additive,feat_7792,20.0,invariant_029,invariant,0,200,0.0,0
